City,State (or Canada),Venue Name,Address
Albuquerque,NM,POPEJOY HALL,"203 Cornell Dr, Albuquerque, NM 87131"
Appleton,WI,FOX CITIES PERFORMING ARTS CENTER,"400 W College Ave, Appleton, WI 54911"
Atlanta,GA,THE FOX,"660 Peachtree Street NE, Atlanta, Georgia 30308"
Austin,TX,BASS CONCERT HALL,"2350 Robert Dedman Dr, Austin, TX 78712 "
Baltimore,MD,HIPPODROME THEATRE,"12 N Eutaw St, Baltimore, MD "
Birmingham,AL,Jefferson Convention Complex,"2100 Richard Arrington Blvd North, Birmingham AL "
Boise,ID,MORRISON CENTER PERFORMING ARTS,"2201 W Cesar Chavez Ln, Boise, ID 83725"
Boston,MA,CITIZENS BANK OPERA HOUSE,"539 Washington St, Boston, MA 02111 "
Buffalo,NY,SHEA'S PERFORMING ARTS CENTER,"646 Main St, Buffalo, NY 142024 "
Calgary,Canada,Southern Alberta Jubilee,"1414 14 Ave NW, Calgary, AB"
Charlotte,NC,Blumenthal Performing Arts Center,"130 North Tryon St. , Charlotte, NC 28202"
Chicago,IL,Broadway in Chicago,"CIBC THEATRE | 18 W Monroe St, Chicago, IL 60603"
Cincinnati,OH,ARONOFF CENTER,"650 Walnut St, Cincinnati, OH 45202 "
Cleveland,OH,PLAYHOUSE SQUARE,"1501 Euclid Ave #200, Cleveland, OH 44115 "
Columbia,SC,Koger Center for the Arts,"1051 Greene Street Columbia, SC 29201"
Columbus,OH,OHIO THEATER,"39 E State St, Columbus, OH 43215 "
Costa Mesa,CA,SEGERSTROM CENTER,"600 Town Center Dr, Costa Mesa, CA 92626"
Dallas,TX,MUSIC HALL AT FAIR PARK,"909 1st Ave, Dallas, TX 75210 "
Dayton,OH,BENJAMIN & MARIAN SCHUSTER PAC,"1 W 2nd St, Dayton, OH 45402"
Denver,CO,BUELL THEATRE,"1350 Curtis Street, Denver, CO 80202 "
Des Moines,IA,Des Moines Performing Arts,"221 Walnut Street Des Moines, IA 50309"
Detroit,MI,FISHER THEATRE,"Hell’s Kitchen: December 2 -14, 2025"
Durham,NC,Durham Performing Arts Center,"123 Vivian Street, Durham, NC 27701"
East Lansing,MI,WHARTON CENTER,"750 E Shaw Ln, East Lansing, MI 48824"
Edmonton,Canada,Northern Alberta Jubilee,11455 87 Ave NW
Eugene,OR,Hult Center,"One Eugene Center, Eugene, OR"
Fayetteville,AR,Walton Arts Center,"495 W. Dickson St. Fayetteville, AR 72701"
Fort Myers,FL,Barbara B Mann Performing Arts Hall,"13350 FSW Pkwy, Fort Myers, FL 33919"
Fort Worth,TX,Bass Performance Hall,"525 Commerce St, Fort Worth, TX 76102 "
Fresno,CA,Saroyan Theatre,"730 M St, Fresno, CA 93721"
Ft. Lauderdale,FL,"Au-Rene Theater, Broward Center","201 SW 5th Ave, Fort Lauderdale, FL 33312"
Grand Rapids,MI,Devos Performance Hall,"303 Monroe Ave NW, Grand Rapids, MI 49503"
Greensboro,NC,Steven Tanger Center for the Arts,"300 Steven Tanger Center N Elm St, Greensboro, NC 27401"
Greenville,SC,Peace Center,"300 S Main St, Greenville, SC 29601"
Hartford,CT,The Bushnell,"166 Capitol Ave, Hartford, CT 06106"
Honolulu,HI,Neal S. Blaisdell Center,"777 Ward Ave, Honolulu, HI 96814"
Houston,TX,Sarofim Hall Hobby Center,"800 Bagby St, Houston, TX 7700"
Huntsville,AL,Broadway Theatre League of Huntsville ,"700 Monroe Street, Huntsville, AL 35801"
Indianapolis,IN,Clowes Memorial Hall,"4602 Sunset Ave, Indianapolis, IN 46208"
Jacksonville,FL,Times Union Center,"300 Water St, Jacksonville, FL 32202"
Kansas City,MO,Music Hall,"301 W 13th St, Kansas City, MO 64105"
Knoxville,TN,Tennessee Theatre,"604 South Gay Street, Knoxville, TN 37902"
Las Vegas,NV,The Smith Center,"361 Symphony Park Avenue, Las Vegas, NV 89106"
Lincoln,NE,Lied Center for Performing Arts,"301 N 12th St, Lincoln, NE 68508"
Little Rock,AR,ROBINSON CENTER,"426 W Markham St, Little Rock, AR 72201"
Los Angeles,CA,HOLLYWOOD PANTAGES THEATRE,"6233 Hollywood Blvd, Los Angeles, CA 90028"
Louisville,KY,Kentucky Center for the Performing Arts,"501 W Main St, Louisville, KY"
Lubbock,TX,Buddy Holly Hall,"1300 Mac Davis Lane, Lubbock, TX"
Madison,WI,OVERTURE CENTER FOR THE ARTS,"201 State St, Madison, WI"
Memphis,TN,ORPHEUM THEATRE MEMPHIS,"203 S Main St, Memphis, TN 38103"
Miami,FL,THE ADRIENNE ARSHT CENTER,"1300 Biscayne Blvd, Miami, FL 33132"
Milwaukee,WI,MARCUS PAC,"929 N Water St, Milwaukee, WI 53202"
Minneapolis,MN,ORPHEUM THEATRE,"910 Hennepin Ave, Minneapolis, MN 55403"
Naples,FL,Artis-Naples,"5833 Pelican Bay Blvd, Naples, FL 34108"
Nashville,TN,TENNESSEE PAC,"505 Deaderick St, Nashville, TN 37243"
New Haven,CT,Shubert Theater,"247 College Street, New Haven, CT "
New Orleans,LA,SAENGER THEATRE,"1111 Canal St, New Orleans, LA 70112 "
Norfolk,VA,Chrysler Hall,"215 St Pauls Blvd, Norfolk, VA 23510"
North Charleston,SC,North Charleston PAC,"5001 Coliseum Dr, North Charleston, SC 29418"
Oklahoma City,OK,CIVIC CENTER MUSIC HALL,"201 N Walker Ave, Oklahoma City, OK"
Omaha,NE,ORPHEUM THEATER,"409 S 16th St, Omaha, NE 68102"
Orlando,FL,WALT DISNEY THEATER AT DR PHILLIPS CENTER,"445 S Magnolia Ave, Orlando, FL 32801 "
Ottawa,Canada,National Arts Centre,"1 Elgin St, Ottawa, ON K1P 5W1"
Philadelphia,PA,KIMMEL CULTURAL CAMPUS,"300 S Broad St, Philadelphia, PA 19102"
Pittsburgh,PA,Benedum Center for the Performing Arts,"237 7th St, Pittsburgh, PA 15222"
Portland,OR,Keller Auditorium,"222 SW Clay St., Portland, OR 97201"
Providence,RI,Providence Performing Arts Center,"220 Weybosset St, Providence, RI 02903"
Reno,NV,Pioneer Center,"100 S Virginia St, Reno, NV 89501"
Richmond,VA,ALTRIA THEATER,"6 N Laurel St, Richmond, VA 23220"
Rochester,NY,RBTL's Auditorium Theatre / Rochester Broadway Theatre League,"885 E Main St, Rochester, NY"
Sacramento,CA,SAFE CREDIT UNION PAC,"1301 L St, Sacramento, CA 958140"
Salt Lake City,UT,Eccles Theater,"131 S Main St, Salt Lake City, UT 84111"
San Antonio,TX,The Majestic Theatre,224 E Houston ST
San Diego,CA,San Diego Civic Theatre,"1100 Third Ave, San Diego, CA"
San Francisco,CA,ORPHEUM THEATRE,"1192 Market St, San Francisco, CA 94102"
San Jose,CA,SAN JOSÉ CENTER FOR THE PERFORMING ARTS,"255 S Almaden Blvd, San Jose, CA 95113"
Sarasota,FL,Van Wezel,"777 N Tamiami Trail, Sarasota, FL "
Schenectady,NY,PROCTORS THEATRE,"432 State St, Schenectady, NY 12305"
Seattle,WA,The Paramount Theatre,"911 Pine St, Seattle, WA"
Sioux Falls,SD,Washington Pavilion,"301 S Main Ave, Sioux Falls, SD 57104"
Spokane,WA,First Interstate Center for the Arts,"The Lion King: January 28 - February 15, 2026"
Springfield,MO,Hammons Hall,"525 S John Q Hammons Pkwy, Springfield, MO"
St. Louis,MO,THE FABULOUS FOX THEATRE,"527 N Grand Blvd, St. Louis, MO 63103"
St. Paul,MN,Ordway,"345 Washington Street, St. Paul, MN"
Syracuse,NY,Landmark Theatre,374 S. Salina Street
Tampa,FL,DAVID A. STRAZ CENTER,1010 N W C Macinnes Pl Tampa FL 33602
Tempe,AZ,ASU GAMMAGE,"1200 S Forest Ave, Tempe, AZ 85281"
Toledo,OH,Stranahan Theater,"4645 Heatherdowns Blvd, Toledo, OH 43614"
Toronto,Canada,Ed Mirvish Theatre,"244 Victoria Street, Toronto, M5B 1V8, Toronto"
Tucson,AZ,CENTENNIAL HALL,"1020 E University Blvd, Tucson, AZ 85719"
Tulsa,OK,Tulsa PAC,110 E 2nd St
Vancouver,Canada,Queen Elizabeth Theatre,"630 Hamilton St, Vancouver, BC V6B 5N6, Canada"
Washington,DC,John F. Kennedy Center for the Performing Arts,"2700 F St NW, Washington, DC"
West Palm Beach,FL,Kravis Center for the Performing Arts,"701 Okeechobee Blvd, West Palm Beach, FL 33401"
Wichita,KS,Century II Concert Hall,"225 W Douglas, Wichita, KS 67202-3100"
Worcester,MA,Hanover Theatre,"2 Southbridge St, Worcester, MA 01608"