SHOW,LOCATION,VENUE,DATES,TICKETS
The Phantom of the Opera,"New Orleans, LA",Saenger Theatre,Mar 4 - Mar 15,https://www.saengernola.com/events/
The Phantom of the Opera,"Denver, CO",Buell Theatre,Mar 18 - Apr 5,https://www.denvercenter.org/tickets-events/?_event_type=broadway
The Phantom of the Opera,"Salt Lake City, UT",Eccles Theater,Apr 8 - Apr 26,https://saltlakecity.broadway.com/shows/
The Phantom of the Opera,"Portland, OR",Keller Auditorium,Apr 29 - May 10,https://portland.broadway.com/shows/
The Phantom of the Opera,"Seattle, WA",Paramount Theatre,May 13 - May 24,https://www.ticketmaster.com/paramount-theatre-tickets-seattle/venue/122980
The Phantom of the Opera,"San Francisco, CA",Orpheum Theatre,May 28 - Jun 21,https://www.broadwaysf.com/events/
The Phantom of the Opera,"Los Angeles, CA",Pantages Theatre,Jun 24 - Aug 9,https://www.ticketmaster.com/hollywood-pantages-theatre-tickets-los-angeles/venue/90160
The Phantom of the Opera,"Costa Mesa, CA",Segerstrom Center for the Arts,Aug 12 - Aug 30,https://www.scfta.org/shows-events
Shucked,"Toledo, OH",Stranahan Theater And Great Hall,Jan 20 - Jan 25,http://www.ticketmaster.com/venue/65569/
Shucked,"Greensboro, NC",Steven Tanger Center for the Performing Arts,Jan 27 - Feb 1,https://www.ticketmaster.com/venue/369803
Shucked,"Norfolk, VA",Chrysler Hall,Feb 3 - Feb 8,https://www.ticketmaster.com/Chrysler-Hall-tickets-Norfolk/venue/8274
Shucked,"Cincinnati, OH",Aronoff Center: Procter & Gamble Hall,Feb 10 - Feb 22,https://www.cincinnatiarts.org/events
Shucked,"Hartford, CT",Bushnell,Feb 24 - Mar 1,https://bushnell.org/shows-concerts
Shucked,"Toronto, ON",Princess of Wales,Mar 3 - Apr 5,
Shucked,"Columbus, OH",Ohio Theatre,Apr 7 - Apr 12,http://www.ticketmaster.com/venue/41027
Shucked,"Pittsburgh, PA",Benedum Center,Apr 14 - Apr 19,https://trustarts.org/calendar
Shucked,"Philadelphia, PA",Forrest Theatre,Apr 21 - May 3,https://www.forrest-theatre.com/
Shucked,"Midland, MI",Midland Center for the Arts,May 9 - May 10,
Shucked,"Oklahoma City, OK",Civic Center Music Hall,May 12 - May 17,https://www.okcciviccenter.com/event-calendar/get-tickets
Shucked,"Reno, NV",Pioneer Center,May 26 - May 31,https://www.pioneercenter.com/
Shucked,"Las Vegas, NV",The Smith Center,Jun 2 - Jun 7,https://thesmithcenter.com/calendar/?categories=Broadway
SIX: The Musical,"Austin, TX",Bass Concert Hall @ U of TX at Austin,Jan 20 - Jan 25,https://austin.broadway.com/shows/
SIX: The Musical,"Dallas, TX",Music Hall At Fair Park,Jan 27 - Feb 1,http://www.ticketmaster.com/venue/98325/
SIX: The Musical,"Nashville, TN",Tennessee Performing Arts Center,Feb 3 - Feb 8,https://www.tpac.org/events-tickets/
SIX: The Musical,"Fort Worth, TX",Bass Performance Hall,Feb 10 - Feb 15,https://www.basshall.com/tickets-events/now-on-sale/
SIX: The Musical,"Los Angeles, CA",Pantages Theatre,Feb 18 - Mar 8,https://www.ticketmaster.com/hollywood-pantages-theatre-tickets-los-angeles/venue/90160
SIX: The Musical,"Costa Mesa, CA",Segerstrom Center for the Arts,Mar 10 - Mar 15,https://www.scfta.org/shows-events
SIX: The Musical,"Tempe, AZ",ASU Gammage,Mar 17 - Mar 22,https://www.ticketmaster.com/asu-gammage-tickets-tempe/venue/204814
SIX: The Musical,"Omaha, NE",Orpheum Theater,Mar 25 - Mar 29,http://www.ticketomaha.com/
SIX: The Musical,"Midland, TX",Wagner Noel Performing Arts Center,Mar 31 - Apr 1,https://www.etix.com/ticket/v/8363/wagner-no%C3%ABl-performing-arts-center
SIX: The Musical,"El Paso, TX",The Plaza Theatre,Apr 3 - Apr 5,https://www.ticketmaster.com/venue/98962
SIX: The Musical,"Houston, TX",Hobby Center For The Perf. Arts,Apr 7 - Apr 12,http://www.thehobbycenter.org/index.php?q=node/133
SIX: The Musical,"New Orleans, LA",Saenger Theatre,Apr 14 - Apr 19,https://www.saengernola.com/events/
SIX: The Musical,"Memphis, TN",Orpheum Theatre - Memphis,Apr 21 - Apr 26,https://orpheum-memphis.com/events
SIX: The Musical,"Atlanta, GA",Fox Theatre,Apr 28 - May 3,https://www.foxtheatre.org/events
SIX: The Musical,"Greensboro, NC",Steven Tanger Center for the Performing Arts,May 5 - May 10,https://www.ticketmaster.com/venue/369803
SIX: The Musical,"Tampa, FL",Straz Center for the Performing Arts,May 12 - May 17,https://www.strazcenter.org/tickets-events/upcoming-broadway/
SIX: The Musical,"Johnson City, TN",ETSU Martin Center,May 26 - May 28,
SIX: The Musical,"Auburn, AL",Woltosz Theatre at Gogue Performing Arts Center,May 30 - May 31,
SIX: The Musical,"Orlando, FL",Dr. Phillips Center for the Performing Arts: Walt Disney Theater,Jun 2 - Jun 7,https://www.drphillipscenter.org/events/
SIX: The Musical,"Evans, GA",Columbia County Performing Arts Center,Jun 9 - Jun 11,
SIX: The Musical,"Wilmington, NC",Wilson Center at Cape Fear Community College,Jun 12 - Jun 14,
SIX: The Musical,"St. Paul, MN",Ordway Center For The Perf. Arts,Jun 17 - Jun 28,https://boxoffice.ordway.org/online/
Some Like it Hot,"Sarasota, FL",Van Wezel Performing Arts Hall,Jan 21 - Jan 25,https://www.vanwezel.org/events
Some Like it Hot,"Boston, MA",Opera House,Jan 28 - Feb 8,https://boston.broadway.com/shows/
Some Like it Hot,"Toronto, ON",Ed Mirvish Theatre,Feb 10 - Mar 15,
Some Like it Hot,"Fayetteville, AR",Walton Arts Center,Mar 17 - Mar 22,https://waltonartscenter.org/tickets/calendar/
Some Like it Hot,"Houston, TX",Hobby Center For The Perf. Arts,Mar 24 - Mar 29,http://www.thehobbycenter.org/index.php?q=node/133
Some Like it Hot,"Dallas, TX",Music Hall At Fair Park,Mar 31 - Apr 12,http://www.ticketmaster.com/venue/98325/
Some Like it Hot,"Fort Worth, TX",Bass Performance Hall,Apr 14 - Apr 19,https://www.basshall.com/tickets-events/now-on-sale/
Some Like it Hot,"Nashville, TN",Tennessee Performing Arts Center,Apr 21 - Apr 26,https://www.tpac.org/events-tickets/
The Sound of Music,"Huntsville, AL",Von Braun Center,Jan 27 - Feb 1,https://www.vonbrauncenter.com/events-tickets/upcoming-events/
The Sound of Music,"Austin, TX",Bass Concert Hall @ U of TX at Austin,Feb 3 - Feb 8,https://austin.broadway.com/shows/
The Sound of Music,"Chattanooga, TN",Memorial Auditorium,Feb 10 - Feb 15,http://www.onstagechattanooga.com/index.php?set=buy_tickets
The Sound of Music,"Memphis, TN",Orpheum Theatre - Memphis,Feb 17 - Feb 22,https://orpheum-memphis.com/events
The Sound of Music,"Columbus, OH",Ohio Theatre,Feb 24 - Mar 1,http://www.ticketmaster.com/venue/41027
The Sound of Music,"Detroit, MI",Fox Theatre,Mar 5 - Mar 8,http://www.magicspace.net/detroit/#.UcnnSOusZNE
The Sound of Music,"Greensboro, NC",Steven Tanger Center for the Performing Arts,Mar 10 - Mar 15,https://www.ticketmaster.com/venue/369803
The Sound of Music,"Schenectady, NY",Proctors,Mar 17 - Mar 22,http://tickets.proctors.org/
The Sound of Music,"New Haven, CT",Shubert Theatre,Mar 26 - Mar 29,https://www.shubert.com/events
The Sound of Music,"Philadelphia, PA",Academy of Music: Kimmel Center,Mar 31 - Apr 5,https://www.ensembleartsphilly.org/tickets-and-events/events?Genre=Broadway
The Sound of Music,"Atlanta, GA",Fox Theatre,Apr 7 - Apr 12,https://www.foxtheatre.org/events
The Sound of Music,"Cleveland, OH",Connor Palace,Apr 22 - Apr 26,https://www.playhousesquare.org/multicategory/category/broadway
The Sound of Music,"Los Angeles, CA",Pantages Theatre,May 5 - May 24,https://www.ticketmaster.com/hollywood-pantages-theatre-tickets-los-angeles/venue/90160
The Sound of Music,"San Diego, CA",San Diego Civic Theatre,May 26 - May 31,http://www.ticketmaster.com/venue/82007
The Sound of Music,"Costa Mesa, CA",Segerstrom Center for the Arts,Jun 2 - Jun 14,https://www.scfta.org/shows-events
The Sound of Music,"Reno, NV",Pioneer Center,Jul 14 - Jul 19,https://www.pioneercenter.com/
The Sound of Music,"San Jose, CA",San Jose Center For The Perf. Arts,Jul 21 - Jul 26,https://www.ticketmaster.com/venue/229426
The Sound of Music,"Denver, CO",Buell Theatre,Jul 29 - Aug 2,https://www.denvercenter.org/tickets-events/?_event_type=broadway
Spamalot,"Charlotte, NC",Blumenthal Center: Belk Theater,Jan 20 - Jan 25,https://www.blumenthalarts.org/events
Spamalot,"Detroit, MI",Fisher Theatre,Jan 27 - Feb 1,https://www.ticketmaster.com/venue/65546
Spamalot,"Seattle, WA",The 5th Avenue Theatre,Feb 4 - Feb 15,https://www.5thavenue.org/shows/
Spamalot,"Costa Mesa, CA",Segerstrom Center for the Arts,Feb 17 - Feb 22,https://www.scfta.org/shows-events
Spamalot,"Las Vegas, NV",The Smith Center,Feb 24 - Mar 1,https://thesmithcenter.com/calendar/?categories=Broadway
Spamalot,"San Francisco, CA",Golden Gate Theatre,Mar 3 - Mar 22,https://www.broadwaysf.com/events/
Spamalot,"Los Angeles, CA",Pantages Theatre,Mar 24 - Apr 12,https://www.ticketmaster.com/hollywood-pantages-theatre-tickets-los-angeles/venue/90160
Spamalot,"Houston, TX",Hobby Center For The Perf. Arts,Apr 15 - Apr 26,http://www.thehobbycenter.org/index.php?q=node/133
Spamalot,"Fort Worth, TX",Bass Performance Hall,Apr 28 - May 3,https://www.basshall.com/tickets-events/now-on-sale/
Spamalot,"St. Louis, MO",Fox Theatre,May 5 - May 17,https://www.metrotix.com/events/venue/fox-theatre
Spamalot,"Chicago, IL",CIBC Theatre,May 19 - May 31,http://www.ticketmaster.com/venue/57402/?brand=broadwayi
Spamalot,"New Orleans, LA",Saenger Theatre,Jun 2 - Jun 7,https://www.saengernola.com/events/
Spamalot,"St. Paul, MN",Ordway Center For The Perf. Arts,Jun 10 - Jun 14,https://boxoffice.ordway.org/online/
Spamalot,"Fort Wayne, IN",The Embassy Theatre,Jun 16 - Jun 17,http://www.ticketmaster.com/venue/41141
Spamalot,"Lexington, KY",Opera House In Lexington,Jun 19 - Jun 21,
Spamalot,"Portland, ME",Merrill Auditorium,Jun 23 - Jun 25,
Spamalot,"New Brunswick, NJ",State Theatre,Jun 27 - Jun 28,
Spamalot,"San Antonio, TX",H-E-B Performance Hall at Tobin Center,Jul 7 - Jul 8,
Spamalot,"Dallas, TX",AT&T Performing Arts Center,Jul 9 - Jul 12,https://attpac.org/events
Spamalot,"Milwaukee, WI",Uihlein Hall at Marcus Performing Arts Center,Jul 14 - Jul 19,https://www.ticketmaster.com/uihlein-hall-marcus-center-tickets-milwaukee/venue/57493
Spamalot,"Atlanta, GA",Fox Theatre,Jul 21 - Jul 26,https://www.foxtheatre.org/events
Spamalot,"Greenville, SC",Peace Center For The Perf. Arts,Jul 28 - Aug 2,https://www.peacecenter.org/events
Spamalot,"Denver, CO",Buell Theatre,Aug 11 - Aug 23,https://www.denvercenter.org/tickets-events/?_event_type=broadway
Spamalot,"Spokane, WA",First Interstate Center for the Arts,Aug 25 - Aug 26,https://www.broadwayspokane.com/events
Stereophonic,"Cleveland, OH",Connor Palace,Jan 6 - Jan 25,https://www.playhousesquare.org/multicategory/category/broadway
Stereophonic,"Chicago, IL",CIBC Theatre,Jan 27 - Feb 8,http://www.ticketmaster.com/venue/57402/?brand=broadwayi
Stereophonic,"Washington, DC",National Theatre,Feb 10 - Mar 8,https://www.broadwayatthenational.com/shows/
Stereophonic,"Boston, MA",Emerson Colonial Theatre,Mar 10 - Mar 15,https://boston.broadway.com/shows/
Stereophonic,"Durham, NC",Durham Performing Arts Center,Mar 17 - Mar 22,https://www.ticketmaster.com/dpac-durham-performing-arts-center-tickets-durham/venue/369510
Stereophonic,"Waterbury, CT",Palace Theater,Mar 24 - Mar 26,https://mpv.tickets.com/schedule/?agency=PTGV_PLAGENCY_MPV&orgid=45569&_ga=2.34640808.829229827.1634745511-2113445083.1625076254#/?view=list&includePackages=true
Stereophonic,"New Brunswick, NJ",State Theatre,Mar 28 - Mar 29,
Stereophonic,"Kansas City, MO",Kauffman Center for the Perf. Arts,Apr 7 - Apr 12,http://www.kauffmancenter.org
Stereophonic,"Charlotte, NC",Blumenthal Center: Knight Theater,Apr 15 - Apr 26,https://www.blumenthalarts.org/events
Stereophonic,"Tampa, FL",Straz Center for the Performing Arts,Apr 28 - May 3,https://www.strazcenter.org/tickets-events/upcoming-broadway/
Stereophonic,"Dallas, TX",AT&T Performing Arts Center,May 8 - May 10,https://attpac.org/events
Suffs,"Providence, RI",Providence Performing Arts Center,Jan 20 - Jan 25,https://www.ppacri.org/events
Suffs,"Hartford, CT",Bushnell,Jan 27 - Feb 1,https://bushnell.org/shows-concerts
Suffs,"Cleveland, OH",Connor Palace,Feb 3 - Feb 22,https://www.playhousesquare.org/multicategory/category/broadway
Suffs,"Greenville, SC",Peace Center For The Perf. Arts,Feb 24 - Mar 1,https://www.peacecenter.org/events
Suffs,"Nashville, TN",Tennessee Performing Arts Center,Mar 3 - Mar 8,https://www.tpac.org/events-tickets/
Suffs,"Charlotte, NC",Blumenthal Center: Belk Theater,Mar 10 - Mar 15,https://www.blumenthalarts.org/events
Suffs,"Boston, MA",Emerson Colonial Theatre,Mar 17 - Mar 29,https://boston.broadway.com/shows/
Suffs,"Dayton, OH",Benjamin & Marian Schuster Performing Arts Center,Mar 31 - Apr 5,https://www.daytonlive.org/events/
Suffs,"Minneapolis, MN",Orpheum Theatre,Apr 7 - Apr 12,http://www.ticketmaster.com/venue/49292
Suffs,"Detroit, MI",Fisher Theatre,Apr 14 - Apr 26,https://www.ticketmaster.com/venue/65546
Suffs,"Des Moines, IA",Des Moines Civic Center,Apr 28 - May 3,https://www.desmoinesperformingarts.org/whats-on/list
Suffs,"Lincoln, NE",Lied Center For Performing Arts,May 5 - May 10,https://www.liedcenter.org/events-page
Suffs,"Cincinnati, OH",Aronoff Center: Procter & Gamble Hall,May 12 - May 17,https://www.cincinnatiarts.org/events
Suffs,"Baltimore, MD",Hippodrome Theatre,May 26 - May 31,https://baltimore.broadway.com/shows/
Suffs,"Buffalo, NY",Shea's Performing Arts Center,Jun 2 - Jun 7,http://www.ticketmaster.com/venue/160
Suffs,"Rochester, NY",Auditorium Theatre,Jun 9 - Jun 14,http://www.ticketmaster.com/venue/164/?search_redirect=aud%20theatre&tm_link=tm_header_search
Suffs,"Washington, DC",National Theatre,Jun 16 - Jun 28,https://www.broadwayatthenational.com/shows/
Suffs,"Chicago, IL",CIBC Theatre,Jul 7 - Jul 19,http://www.ticketmaster.com/venue/57402/?brand=broadwayi
Suffs,"Pittsburgh, PA",Benedum Center,Jul 21 - Jul 26,https://trustarts.org/calendar
Suffs,"Fort Worth, TX",Bass Performance Hall,Aug 4 - Aug 9,https://www.basshall.com/tickets-events/now-on-sale/
Wicked,"Pittsburgh, PA",Benedum Center,Jan 14 - Feb 15,https://trustarts.org/calendar
Wicked,"Rochester, NY",Auditorium Theatre,Feb 18 - Mar 1,http://www.ticketmaster.com/venue/164/?search_redirect=aud%20theatre&tm_link=tm_header_search
Wicked,"Providence, RI",Providence Performing Arts Center,Mar 4 - Mar 22,https://www.ppacri.org/events
Wicked,"Columbia, SC",Koger Center For The Arts,Mar 25 - Apr 5,
Wicked,"Little Rock, AR",Robinson Performance Hall,Apr 8 - Apr 19,http://www.ticketmaster.com/venue/221397
Wicked,"Springfield, MO",Hammons Hall,Apr 22 - May 3,
Wicked,"Dallas, TX",Music Hall At Fair Park,May 6 - Jun 14,http://www.ticketmaster.com/venue/98325/
Wicked,"Omaha, NE",Orpheum Theater,Jun 17 - Jul 5,http://www.ticketomaha.com/
Wicked,"Minneapolis, MN",Orpheum Theatre,Jul 8 - Aug 9,http://www.ticketmaster.com/venue/49292
Wicked,"Kansas City, MO",Municipal Auditorium Music Hall,Aug 12 - Aug 30,http://www.ticketmaster.com/venue/49167
Wicked,"Des Moines, IA",Des Moines Civic Center,Sep 2 - Sep 20,https://www.desmoinesperformingarts.org/whats-on/list
Wicked,"Greensboro, NC",Steven Tanger Center for the Performing Arts,Nov 18 - Dec 6,https://www.ticketmaster.com/venue/369803
The Wiz,"Costa Mesa, CA",Segerstrom Center for the Arts,Jan 13 - Jan 25,https://www.scfta.org/shows-events
The Wiz,"San Jose, CA",San Jose Center For The Perf. Arts,Jan 27 - Feb 1,https://www.ticketmaster.com/venue/229426
The Wiz,"Portland, OR",Keller Auditorium,Feb 3 - Feb 8,https://portland.broadway.com/shows/
The Wiz,"Seattle, WA",Paramount Theatre,Feb 10 - Feb 15,https://www.ticketmaster.com/paramount-theatre-tickets-seattle/venue/122980
The Wiz,"El Paso, TX",The Plaza Theatre,Feb 18 - Feb 22,https://www.ticketmaster.com/venue/98962
The Wiz,"Cincinnati, OH",Aronoff Center: Procter & Gamble Hall,Mar 3 - Mar 15,https://www.cincinnatiarts.org/events
The Wiz,"Indianapolis, IN",Clowes Memorial Hall,Mar 17 - Mar 22,http://www.ticketmaster.com/venue/41111/?search_redirect=clowes%20memorial%20hall&tm_link=tm_header_search
The Wiz,"Milwaukee, WI",Uihlein Hall at Marcus Performing Arts Center,Mar 24 - Mar 29,https://www.ticketmaster.com/uihlein-hall-marcus-center-tickets-milwaukee/venue/57493
The Wiz,"Washington, DC",National Theatre,Apr 7 - Apr 12,https://www.broadwayatthenational.com/shows/
The Wiz,"North Charleston, SC",North Charleston Coliseum & PAC,Apr 14 - Apr 19,https://www.ticketmaster.com/north-charleston-performing-arts-center-tickets-north-charleston/venue/369120
The Wiz,"Richmond, VA",Altria Theater,Apr 21 - Apr 26,http://www.altriatheater.com/events
The Wiz,"Chattanooga, TN",Memorial Auditorium,Apr 28 - May 3,http://www.onstagechattanooga.com/index.php?set=buy_tickets
The Wiz,"Tulsa, OK",Chapman Music Hall At Tulsa PAC,May 5 - May 10,https://am.ticketmaster.com/tulsapac/buy
The Wiz,"Austin, TX",Bass Concert Hall @ U of TX at Austin,May 12 - May 17,https://austin.broadway.com/shows/
The Wiz,"Oklahoma City, OK",Civic Center Music Hall,May 19 - May 24,https://www.okcciviccenter.com/event-calendar/get-tickets
The Wiz,"Toledo, OH",Stranahan Theater And Great Hall,May 26 - May 31,http://www.ticketmaster.com/venue/65569/
